Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
IBM,International Business Machines Corporation,Information Technology,29,0.61,0.61,0.74,4.62
OZK,Bank OZK,Financials,29,11.27,11.74,10.95,12.9
RNR,RenaissanceRe Holdings Ltd.,Financials,29,2.64,2.71,2.79,3.01
PII,Polaris Inc.,Consumer Discretionary,29,1.54,1.57,1.59,3.24
NJR,New Jersey Resources Corporation,Utilities,29,7.41,7.78,7.54,7.18
CNI,Canadian National Railway Company,Industrials,29,5.84,7.7,8.75,10.52
ANDE,"The Andersons, Inc.",Consumer Staples,28,-23.49,-6.84,-3.61,1.95
ENB,Enbridge Inc.,Energy,28,1.3,-0.18,3.75,7.69
CHD,"Church & Dwight Co., Inc.",Consumer Staples,28,4.15,3.98,4.53,6.24
EPD,Enterprise Products Partners L.P.,Energy,28,5.06,4.94,3.46,3.82
SJM,The J. M. Smucker Company,Consumer Staples,27,2.89,4.23,4.35,5.79
YORW,The York Water Company,Utilities,27,4.0,4.0,4.0,3.94
GGG,Graco Inc.,Industrials,27,8.52,10.8,9.78,10.78
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,26,0.82,5.76,4.13,5.58
ES,Eversource Energy,Utilities,26,5.93,5.88,5.98,6.19
CASY,"Casey's General Stores, Inc.",Consumer Staples,26,14.82,10.73,8.81,9.37
ALRS,Alerus Financial Corporation,Financials,26,5.34,7.84,6.75,7.5
FDS,FactSet Research Systems Inc.,Financials,26,7.06,8.28,7.93,10.44
PB,"Prosperity Bancshares, Inc.",Financials,26,2.27,4.34,5.99,8.58
RGCO,"RGC Resources, Inc.",Utilities,25,1.27,2.64,3.93,4.96
FAST,Fastenal Company,Industrials,25,11.43,11.68,12.39,12.06
WLY,"John Wiley & Sons, Inc.",Communication Services,25,0.72,0.73,0.84,2.32
WLYB,"John Wiley & Sons, Inc.",Communication Services,25,0.72,0.73,0.84,2.32
NWFL,Norwood Financial Corp.,Financials,25,3.45,4.89,4.57,4.14
MKC,"McCormick & Company, Incorporated",Consumer Staples,25,7.55,7.16,7.98,8.52
LNN,Lindsay Corporation,Industrials,23,2.9,2.73,2.75,2.97
LHX,"L3Harris Technologies, Inc.",Industrials,23,1.76,4.39,10.09,10.06
WRB,W. R. Berkley Corporation,Financials,23,9.3,11.4,10.39,9.42
QCOM,QUALCOMM Incorporated,Information Technology,23,6.35,7.2,6.2,7.61
LARK,"Landmark Bancorp, Inc.",Financials,23,5.0,6.72,6.03,6.06
MSFT,Microsoft Corporation,Information Technology,23,10.4,10.23,10.26,10.36
SO,The Southern Company,Utilities,23,2.88,2.97,3.06,3.23
NKE,"NIKE, Inc.",Consumer Discretionary,23,8.64,10.15,10.79,11.69
RGLD,"Royal Gold, Inc.",Materials,23,33.34,18.57,13.54,8.94
CASS,"Cass Information Systems, Inc.",Information Technology,23,3.42,3.55,2.88,7.03
ROL,"Rollins, Inc.",Industrials,22,13.89,21.85,17.05,17.33
XEL,Xcel Energy Inc.,Utilities,22,-21.04,-3.54,0.28,3.19
LMT,Lockheed Martin Corporation,Industrials,22,4.94,6.35,7.22,8.8
TRV,"The Travelers Companies, Inc.",Financials,22,5.6,5.95,5.15,6.8
RSG,"Republic Services, Inc.",Industrials,22,-19.91,-2.32,1.13,4.33
FLO,"Flowers Foods, Inc.",Consumer Staples,22,4.4,4.61,4.85,6.96
ADI,"Analog Devices, Inc.",Information Technology,22,6.98,10.07,11.25,9.54
PRGO,Perrigo Company plc,Health Care,22,1.1,4.77,6.13,10.15
WEC,"WEC Energy Group, Inc.",Utilities,22,7.06,7.22,7.2,7.92
AVA,Avista Corporation,Utilities,22,3.27,3.99,4.16,4.12
MCHP,Microchip Technology Incorporated,Information Technology,22,13.91,28.58,19.88,9.8
ODC,Oil-Dri Corporation of America,Consumer Staples,22,5.27,4.23,4.14,4.41
EIX,Edison International,Utilities,22,-21.81,-4.52,-1.12,4.68
MSEX,Middlesex Water Company,Utilities,21,4.16,5.9,6.14,5.61
TTC,The Toro Company,Industrials,21,5.8,10.32,9.56,13.14
SR,Spire Inc.,Utilities,21,4.64,5.0,4.92,5.54
LNT,Alliant Energy Corporation,Utilities,21,6.08,6.05,6.22,6.53
TXN,Texas Instruments Incorporated,Information Technology,21,4.79,7.71,10.39,15.55
NOC,Northrop Grumman Corporation,Industrials,21,9.68,9.33,9.31,11.51
CPK,Chesapeake Utilities Corporation,Utilities,21,8.9,10.12,9.63,8.94
SRE,Sempra Energy,Utilities,21,4.21,4.08,5.09,6.51
RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,21,3.71,6.02,8.07,7.57
WM,"Waste Management, Inc.",Industrials,21,7.15,9.27,7.92,7.18
EVRG,"Evergy, Inc.",Utilities,21,4.64,6.03,6.11,6.37
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,21,2.39,13.39,10.59,7.96
NHC,National HealthCare Corporation,Health Care,21,3.42,4.68,3.28,6.09
BHB,Bar Harbor Bankshares,Financials,21,7.28,7.88,6.54,6.95
DUK,Duke Energy Corporation,Utilities,21,1.98,2.02,2.03,2.78
BBY,"Best Buy Co., Inc.",Consumer Discretionary,21,2.18,10.33,13.46,17.98
VZ,Verizon Communications Inc.,Communication Services,21,1.91,1.95,1.99,2.25
THG,"The Hanover Insurance Group, Inc.",Financials,20,5.19,6.58,7.09,8.55
NWE,NorthWestern Corporation,Utilities,20,1.57,1.59,2.49,4.98
SLGN,Silgan Holdings Inc.,Materials,20,5.56,10.72,11.56,9.75
